Resource,Directory,Environment,Account
atlas,./structure/resources/accounts/staging/iam/Makefile,NA,staging
atlas,./structure/resources/accounts/staging/keys/Makefile,NA,staging
atlas,./structure/resources/iam/Makefile,NA,
atlas,./structure/resources/s3/apt.grindr.io/Makefile,NA,284224159432
atlas,./structure/resources/s3/isre.grindr.io/Makefile,NA,
atlas,./structure/resources/s3/rpm.grindr.io/Makefile,NA,284224159432
aurora,./structure/environments/staging/resources/aurora/Makefile,staging,staging
aurora_chat,./structure/environments/staging/resources/aurora_chat/Makefile,staging,staging
auth_captcha,./structure/environments/development/resources/auth_captcha/Makefile,development,preprod
auth_captcha,./structure/environments/production/resources/auth_captcha/Makefile,production,prod-3.0
autospotting,./structure/resources/accounts/development/autospotting/Makefile,NA,preprod
autospotting,./structure/resources/accounts/legacy/autospotting/Makefile,NA,prod-2.0
autospotting,./structure/resources/accounts/production/autospotting/Makefile,NA,prod-3.0
autospotting,./structure/resources/accounts/staging/autospotting/Makefile,NA,staging
cdn,./structure/environments/development/resources/cdn/Makefile,development,preprod
cdn,./structure/environments/production/resources/cdn/Makefile,production,prod-3.0
cdn,./structure/environments/staging/resources/cdn/Makefile,staging,staging
code_pipeline,./structure/modules/code_pipeline/Makefile,NA,
code_pipeline_admin,./structure/environments/development/resources/code_pipeline_admin/Makefile,development,preprod
collect,./structure/environments/datascience/resources/collect/Makefile,datascience,prod-3.0
collect,./structure/environments/development/resources/collect/Makefile,development,preprod
collect,./structure/environments/production/resources/collect/Makefile,production,prod-3.0
collect,./structure/environments/staging/resources/collect/Makefile,staging,staging
collect,./structure/hubs/hub1/resources/collect/Makefile,NA,prod-2.0
datalake,./structure/environments/datascience/resources/datalake/Makefile,datascience,prod-3.0
data_retention,./structure/environments/production/resources/data_retention/Makefile,production,prod-3.0
data-retention,./structure/hubs/hub1/resources/data-retention/Makefile,NA,prod-2.0
dcos_masters,./structure/environments/datascience/resources/dcos_masters/Makefile,datascience,prod-3.0
dcos_public_workers,./structure/environments/datascience/resources/dcos_public_workers/Makefile,datascience,prod-3.0
dcos_services_workers,./structure/environments/datascience/resources/dcos_services_workers/Makefile,datascience,prod-3.0
docker_registry,./structure/environments/development/resources/docker_registry/Makefile,development,preprod
dsci_kafka_load_test,./structure/environments/staging/resources/dsci_kafka_load_test/Makefile,staging,staging
elasticsearch,./structure/environments/staging/resources/elasticsearch/Makefile,staging,staging
elasticsearch,./structure/hubs/hub1/resources/elasticsearch/Makefile,NA,prod-2.0
es_cascade,./structure/environments/production/resources/es_cascade/Makefile,production,prod-3.0
es_cascade,./structure/environments/staging/resources/es_cascade/Makefile,staging,staging
gocd,./structure/environments/production/resources/gocd/Makefile,production,prod-3.0
iam,./structure/environments/development/iam/Makefile,development,preprod
iam,./structure/resources/accounts/development/iam/Makefile,NA,preprod
iam,./structure/resources/accounts/legacy/iam/Makefile,NA,prod-2.0
iam,./structure/resources/accounts/production/iam/Makefile,NA,prod-3.0
iam,./structure/resources/accounts/staging/iam/Makefile,NA,staging
iam,./structure/resources/iam/Makefile,NA,
isre.grindr.io,./structure/resources/s3/isre.grindr.io/Makefile,NA,
kafka,./structure/environments/production/resources/kafka/Makefile,production,prod-3.0
keys,./structure/resources/accounts/development/keys/Makefile,NA,preprod
keys,./structure/resources/accounts/legacy/keys/Makefile,NA,prod-2.0
keys,./structure/resources/accounts/production/keys/Makefile,NA,prod-3.0
